id,query,intent,pageType,cluster,existingUrl,existingTitle,gap,priority,productCta,uniqueValueHint,notes
dm-agents-what,что такое AI агент,informational,entity,ai-agents,https://proektmap.ru/blog/chto-takoe-ai-agent,Что такое AI-агент: определение без хайпа,covered,P0,/agent-engineering,Определение + схема Harness/Loop/Graph с ProektMap,Evergreen entity
dm-agents-how,как создать AI агента с нуля,how-to,guide,ai-agents,https://proektmap.ru/blog/kak-sozdat-ai-agenta-s-nulya,Как создать AI-агента с нуля: окружение важнее промпта,covered,P0,/agent-engineering,Пошаговый маршрут harness→loop + первая миссия,Ядро обучения
dm-cursor-start,как начать с Cursor,how-to,guide,cursor-vibe,https://proektmap.ru/blog/kak-nachat-s-cursor,Как начать с Cursor: первый вечер без хаоса,covered,P0,/vaibik,Вайбик как миссия №1 + Skills,
dm-cursor-vs,Cursor vs VS Code Copilot,comparison,comparison,cursor-vibe,https://proektmap.ru/blog/cursor-vs-vscode-copilot,Cursor vs VS Code Copilot: что выбрать вайбкодеру в РФ,covered,P1,/vaibik,"Таблица для РФ: цена, VPN, модели",
dm-tg-bot,как сделать telegram бота с AI,how-to,guide,telegram-bot,https://proektmap.ru/blog/kak-sdelat-telegram-bota-s-ai,Как сделать Telegram-бота с AI: готовый маршрут,covered,P0,/resheniya/telegram-bot,Готовый маршрут grammY + PM2,Продукт уже есть — нужен поисковый guide
dm-tg-grok,telegram бот grok cursor,how-to,guide,telegram-bot,https://proektmap.ru/blog/kak-sdelat-telegram-bota-s-ai,Как сделать Telegram-бота с AI: готовый маршрут,covered,P1,/resheniya/grok-bot-cursor,Маршрут grok-bot-cursor,
dm-saas-ai,как сделать saas с помощью AI,how-to,guide,saas-product,https://proektmap.ru/blog/kak-sdelat-saas-s-pomoshchyu-ai,Как сделать SaaS с помощью AI: маршрут без анкеты,covered,P0,/resheniya/saas-product,Этапы SaaS-маршрута + DoD,
dm-landing-ai,лендинг с AI за вечер,commercial,commercial,saas-product,https://proektmap.ru/blog/kak-ai-mozhet-sozdat-sait-za-vecher,Как AI может создать сайт за вечер,weak,P1,/resheniya/premium-landing,Кейс/маршрут premium-landing,
dm-avito-photo,уникализатор фото авито,transactional,commercial,avito-ai,https://proektmap.ru/blog/unikalizator-foto-dlya-avito,Уникализатор фото для Авито: как подготовить снимки без склейки объявлений,weak,P3,/services/avito-photo-uniquizer,Спутник кликов — не ядро контент-цеха,"SATELLITE: Авито усиливает клики, не контур вайбкодинга"
dm-avito-ai,нейросеть для объявлений авито,commercial,guide,avito-ai,https://proektmap.ru/blog/kak-neyroset-mozhet-uluchshit-fotografii-obyavleniya-na-avito,Как нейросеть может улучшить фотографии объявления на Авито,weak,P3,/resheniya/avito-business,Не приоритет производства активов,SATELLITE: не развивать как P0/P1
dm-no-vpn,нейросети без vpn россия,informational,guide,ai-russia,https://proektmap.ru/blog/neyroseti-bez-vpn-rossiya,Нейросети без VPN в России: рабочий стек практика,covered,P0,/ai-without-vpn,Актуальный стек РФ + OpenRouter/DeepSeek,Страница хаба есть — усилить guide
dm-yandexgpt,yandexgpt vs deepseek для кода,comparison,comparison,ai-russia,https://proektmap.ru/blog/deepseek-api-vvodit-pikovye-tarify-chto-izmenitsya-s-serediny-iyulya-i-kak-ne-pereplachivat,DeepSeek API вводит «пиковые» тарифы: что изменится с середины июля и как не переплачивать,weak,P1,/models,Сравнение с лимитами и задачами практика,
dm-prompt,как писать промпты для cursor,how-to,guide,prompts-skills,https://proektmap.ru/blog/kak-pisat-prompty-dlya-cursor,Как писать промпты для Cursor: плохо и хорошо,covered,P0,/prompts,Плохо→хорошо из /ai-skills,
