slug,title,verdict,priority,cluster,pageTypeGuess,viewCount,wordCount,aiGenerated,hasProductLink,mergeIntoSlug,productUrls,reason,nextAction,url
cursor-vs-vscode-copilot,Cursor vs VS Code Copilot: что выбрать вайбкодеру в РФ,keep,P0,cursor-vibe,comparison,0,194,false,true,,/vaibik /resheniya /ai-without-vpn /agent-engineering /models,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/cursor-vs-vscode-copilot
obuchenie-ai-inzhenerii-rossiya,Обучение AI-инженерии в России: карта ProektMap,keep,P0,cursor-vibe,explainer,0,172,false,true,,/agent-engineering /vaibik /resheniya /ai-without-vpn /ai-skills /prompts /models /russian-ai /arsenal /mcp,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/obuchenie-ai-inzhenerii-rossiya
chto-takoe-vaybkodling,Что такое вайбкодинг: определение для практики в России,keep,P0,cursor-vibe,explainer,0,172,false,true,,/ai-without-vpn /vaibik /ai-skills /resheniya /agent-engineering,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/chto-takoe-vaybkodling
kak-sozdat-ai-agenta-s-nulya,Как создать AI-агента с нуля: окружение важнее промпта,keep,P0,ai-agents,explainer,0,215,false,true,,/agent-engineering /resheniya /ai-without-vpn /agent-engineering/harness /agent-engineering/loop /resheniya/telegram-bot /vaibik /agent-engineering/graph /ai-skills,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/kak-sozdat-ai-agenta-s-nulya
gotovye-ai-resheniya-proektmap,Готовые AI-решения ProektMap: зачем маршрут вместо курса,keep,P0,resheniya-hub,explainer,0,135,false,true,,/resheniya /resheniya/telegram-bot /resheniya/saas-product /resheniya/premium-landing /resheniya/grok-bot-cursor /agent-engineering /vaibik /ai-without-vpn /services,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/gotovye-ai-resheniya-proektmap
kak-pisat-prompty-dlya-cursor,Как писать промпты для Cursor: плохо и хорошо,keep,P0,prompts-skills,explainer,1,192,false,true,,/prompts /ai-skills /agent-engineering,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/kak-pisat-prompty-dlya-cursor
neyroseti-bez-vpn-rossiya,Нейросети без VPN в России: рабочий стек практика,keep,P0,ai-russia,explainer,1,164,false,true,,/ai-without-vpn /models /russian-ai /resheniya /resheniya/telegram-bot,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/neyroseti-bez-vpn-rossiya
kak-nachat-s-cursor,Как начать с Cursor: первый вечер без хаоса,keep,P0,cursor-vibe,explainer,1,181,false,true,,/vaibik /ai-without-vpn /models /agent-engineering/loop /ai-skills /resheniya,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/kak-nachat-s-cursor
kak-sdelat-saas-s-pomoshchyu-ai,Как сделать SaaS с помощью AI: маршрут без анкеты,keep,P0,cursor-vibe,explainer,0,210,false,true,,/resheniya/saas-product /resheniya /resheniya/premium-landing /services/site-template /vaibik,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/kak-sdelat-saas-s-pomoshchyu-ai
kak-sdelat-telegram-bota-s-ai,Как сделать Telegram-бота с AI: готовый маршрут,keep,P0,telegram-bot,explainer,1,267,false,true,,/resheniya/telegram-bot /resheniya/grok-bot-cursor /agent-engineering /models,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/kak-sdelat-telegram-bota-s-ai
chto-takoe-ai-agent,Что такое AI-агент: определение без хайпа,keep,P0,ai-agents,explainer,1,267,false,true,,/agent-engineering /agent-engineering/harness /agent-engineering/loop /agent-engineering/graph /agent-engineering/grok-bot /resheniya /arsenal /ai-skills,Ручной поисковый актив (content-asset),Мониторить спрос; усиливать FAQ и внутренние ссылки,https://proektmap.ru/blog/chto-takoe-ai-agent
alice-ai-foundation-llm-ot-yandeksa-chto-eto-menyaet-dlya-ai-inzhenera,Alice AI Foundation LLM от Яндекса: что это меняет для AI-инженера,leave-as-news,P3,llm-models,news,0,228,true,true,,/resheniya /services,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/alice-ai-foundation-llm-ot-yandeksa-chto-eto-menyaet-dlya-ai-inzhenera
5-grabley-ai-agregatora-telegram-chto-chinit-praktiku,5 граблей AI-агрегатора Telegram: что чинить практику,evergreen,P1,telegram-bot,explainer,0,237,true,true,,/resheniya,"Тема вечнозелёная, формат сейчас News/тонкий — превратить в guide/entity","Расширить до guide: ответ сверху, шаги, плохо→хорошо, CTA",https://proektmap.ru/blog/5-grabley-ai-agregatora-telegram-chto-chinit-praktiku
kak-ustroeny-llm-3-urovnevaya-abstraktsiya-dlya-ai-inzhenera,Как устроены LLM: 3-уровневая абстракция для AI-инженера,evergreen,P1,llm-models,explainer,0,216,true,true,,/resheniya,"Тема вечнозелёная, формат сейчас News/тонкий — превратить в guide/entity","Расширить до guide: ответ сверху, шаги, плохо→хорошо, CTA",https://proektmap.ru/blog/kak-ustroeny-llm-3-urovnevaya-abstraktsiya-dlya-ai-inzhenera
ten-stratega-kak-ai-agent-stanovitsya-prodolzheniem-cheloveka,Тень стратега: как AI-агент становится продолжением человека,expand,P0,ai-agents,explainer,0,276,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/ten-stratega-kak-ai-agent-stanovitsya-prodolzheniem-cheloveka
ii-mozhet-atakovat-cheloveka-chto-eto-menyaet-dlya-ai-inzhenera,ИИ может атаковать человека: что это меняет для AI-инженера,stop,P2,noise,news,3,252,true,true,,/resheniya,Вне фокуса ProektMap / шум,Не развивать; при consolidate — 301 на кластерный guide или оставить архивом без инвестиций,https://proektmap.ru/blog/ii-mozhet-atakovat-cheloveka-chto-eto-menyaet-dlya-ai-inzhenera
skorost-koda-bol-she-ne-defitsit-gde-iskat-denezhnye-idei,Скорость кода больше не дефицит: где искать денежные идеи,leave-as-news,P3,avito-ai,news,2,241,true,true,,/services/voice-guide-builder,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/skorost-koda-bol-she-ne-defitsit-gde-iskat-denezhnye-idei
neyroset-openai-perestala-podchinyat-sya-cheloveku-chto-eto-znachit-dl,Нейросеть OpenAI перестала подчиняться человеку: что это значит для AI для продавцов,stop,P2,noise,news,2,247,true,true,,/resheniya,Вне фокуса ProektMap / шум,Не развивать; при consolidate — 301 на кластерный guide или оставить архивом без инвестиций,https://proektmap.ru/blog/neyroset-openai-perestala-podchinyat-sya-cheloveku-chto-eto-znachit-dl
domashniy-server-dlya-llm-na-tesla-v100-sxm2-chto-eto-menyaet-dlya-ai-,Домашний сервер для LLM на Tesla V100 SXM2: что это меняет для AI-инженера,stop,P2,llm-models,news,3,201,true,true,,/resheniya,Тонкий AI-News без спроса и просмотров,Не развивать; при consolidate — 301 на кластерный guide или оставить архивом без инвестиций,https://proektmap.ru/blog/domashniy-server-dlya-llm-na-tesla-v100-sxm2-chto-eto-menyaet-dlya-ai-
lokal-nyy-arhiv-telegram-na-telethon-i-sqlite-fts5-chto-eto-dat-ai-inz,Локальный архив Telegram на Telethon и SQLite FTS5: что это даёт AI-инженеру,stop,P2,telegram-bot,explainer,3,183,true,true,,/resheniya,Тонкий AI-News без спроса и просмотров,Не развивать; при consolidate — 301 на кластерный guide или оставить архивом без инвестиций,https://proektmap.ru/blog/lokal-nyy-arhiv-telegram-na-telethon-i-sqlite-fts5-chto-eto-dat-ai-inz
ideal-nyy-ml-nout-s-macbook-na-x86linux-chto-eto-menyaet-dlya-ai-inzhe,Идеальный ML-ноут: с MacBook на x86+Linux — что это меняет для AI-инженера,leave-as-news,P3,ai-agents,news,3,243,true,false,,,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/ideal-nyy-ml-nout-s-macbook-na-x86linux-chto-eto-menyaet-dlya-ai-inzhe
uchenye-podschitali-shans-gibeli-chelovechestva-ot-neyrosetey-chto-eto,Ученые подсчитали шанс гибели человечества от нейросетей: что это меняет для практика,leave-as-news,P3,avito-ai,news,9,237,true,false,,,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/uchenye-podschitali-shans-gibeli-chelovechestva-ot-neyrosetey-chto-eto
agent-tupit-eto-diagnoz-instruktsii-kak-chinit-prompty-dlya-ai-dlya-bi,«Агент тупит» — это диагноз инструкции: как чинить промпты для AI для бизнеса,expand,P0,avito-ai,explainer,6,235,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/agent-tupit-eto-diagnoz-instruktsii-kak-chinit-prompty-dlya-ai-dlya-bi
model-kak-arhitekturnyy-ob-ekt-router-pipelines-vmesto-agenta-universa,Модель как архитектурный объект: router + pipelines вместо агента-универсала,evergreen,P1,llm-models,explainer,8,261,true,true,,/resheniya,"Тема вечнозелёная, формат сейчас News/тонкий — превратить в guide/entity","Расширить до guide: ответ сверху, шаги, плохо→хорошо, CTA",https://proektmap.ru/blog/model-kak-arhitekturnyy-ob-ekt-router-pipelines-vmesto-agenta-universa
445-knig-na-chatgpt-chto-eto-znachit-dlya-ai-inzhenera,445 книг на ChatGPT: что это значит для AI-инженера,leave-as-news,P3,avito-ai,news,7,215,true,false,,,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/445-knig-na-chatgpt-chto-eto-znachit-dlya-ai-inzhenera
bezopasnost-ii-v-rabote-pravila-protiv-utechek-dannyh,Безопасность ИИ в работе: правила против утечек данных,leave-as-news,P3,avito-ai,news,8,292,true,true,,/services/avito-photo-uniquizer /skills/ai-communication,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/bezopasnost-ii-v-rabote-pravila-protiv-utechek-dannyh
vstavil-dogovor-v-chatgpt-chto-narushil-praktik-po-152-fz,Вставил договор в ChatGPT: что нарушил практик по 152-ФЗ,leave-as-news,P3,llm-models,news,7,240,true,true,,/resheniya,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/vstavil-dogovor-v-chatgpt-chto-narushil-praktik-po-152-fz
neyroseti-dlya-bytovyh-zadach-chto-eto-menyaet-dlya-ai-inzhenera,Нейросети для бытовых задач: что это меняет для AI-инженера,leave-as-news,P3,avito-ai,news,13,209,true,true,,/ai-tools/openhands /avito /resheniya,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/neyroseti-dlya-bytovyh-zadach-chto-eto-menyaet-dlya-ai-inzhenera
tz-iz-trebovaniy-kak-ai-praktiku-sobrat-spetsifikatsiyu-bez-word,ТЗ из требований: как AI-практику собрать спецификацию без Word,expand,P0,avito-ai,explainer,9,220,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/tz-iz-trebovaniy-kak-ai-praktiku-sobrat-spetsifikatsiyu-bez-word
grok-bot-vneshniy-kontur-cursor,"Grok Bot снаружи, Cursor внутри: контур без автопилота в прод",product-link,P1,cursor-vibe,explainer,19,323,false,false,,,"Тема в кластере, но нет ссылки на продукт ProektMap",Добавить CTA на /vaibik,https://proektmap.ru/blog/grok-bot-vneshniy-kontur-cursor
neyroseti-i-deti-glavnaya-opasnost-dlya-praktika-ai-produktov,Нейросети и дети: главная опасность для практика AI-продуктов,leave-as-news,P3,avito-ai,news,8,298,true,true,,/resheniya /avito /services,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/neyroseti-i-deti-glavnaya-opasnost-dlya-praktika-ai-produktov
astra-i-agi-chto-eto-znachit-dlya-ai-inzhenerov,Astra и AGI: что это значит для AI-инженеров,leave-as-news,P3,avito-ai,news,7,215,true,false,,,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/astra-i-agi-chto-eto-znachit-dlya-ai-inzhenerov
krasnoyarskie-uchnye-i-neyroseti-praktika-dlya-ai-inzhenerov,Красноярские учёные и нейросети: практика для AI-инженеров,leave-as-news,P3,avito-ai,news,8,282,true,true,,/resheniya /services /avito /skills,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/krasnoyarskie-uchnye-i-neyroseti-praktika-dlya-ai-inzhenerov
ai-router-pochemu-aktivatsii-malo,AI-роутер: почему активации мало,evergreen,P3,avito-ai,explainer,11,214,true,true,,/resheniya,"Тема вечнозелёная, формат сейчас News/тонкий — превратить в guide/entity","Расширить до guide: ответ сверху, шаги, плохо→хорошо, CTA",https://proektmap.ru/blog/ai-router-pochemu-aktivatsii-malo
avtomatizatsiya-prodazh-kak-stat-investorom-s-pomosch-yu-ii,Автоматизация продаж: как стать инвестором с помощью ИИ,expand,P0,avito-ai,explainer,25,232,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/avtomatizatsiya-prodazh-kak-stat-investorom-s-pomosch-yu-ii
neyronnyy-nav-e-stoksgeyt-chto-delat-ai-inzheneru,Нейронный Навье-Стоксгейт: что делать AI-инженеру,product-link,P1,llm-models,news,17,179,true,false,,,"Тема в кластере, но нет ссылки на продукт ProektMap",Добавить CTA на /models,https://proektmap.ru/blog/neyronnyy-nav-e-stoksgeyt-chto-delat-ai-inzheneru
neyroseti-ne-poluchat-mantii-chto-eto-znachit-dlya-ai-inzhenerov,Нейросети не получат мантии: что это значит для AI-инженеров,leave-as-news,P3,avito-ai,news,18,256,true,true,,/resheniya /services,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/neyroseti-ne-poluchat-mantii-chto-eto-znachit-dlya-ai-inzhenerov
generiruemye-uchetnye-sistemy-novyy-tip-produktov-dlya-ai-inzhenerov,Генерируемые учетные системы: новый тип продуктов для AI-инженеров,leave-as-news,P3,marketplace,news,11,210,true,true,,/resheniya /services,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/generiruemye-uchetnye-sistemy-novyy-tip-produktov-dlya-ai-inzhenerov
completion-gate-dlya-lokal-nyh-modeley-kak-otdelit-zavershnnyy-otvet-o,Completion gate для локальных моделей: как отделить завершённый ответ от оценки качества,expand,P0,avito-ai,explainer,16,221,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/completion-gate-dlya-lokal-nyh-modeley-kak-otdelit-zavershnnyy-otvet-o
yandeks-gotovit-orkestrator-dlya-neyrosetey-chto-eto-znachit-dlya-ai-i,Яндекс готовит оркестратор для нейросетей: что это значит для AI-инженеров,leave-as-news,P3,ai-agents,news,13,201,true,true,,/resheniya,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/yandeks-gotovit-orkestrator-dlya-neyrosetey-chto-eto-znachit-dlya-ai-i
reasonix-bez-lishnih-tokenov,REASONIX БЕЗ ЛИШНИХ ТОКЕНОВ,keep,P2,microservices,news,15,2204,false,false,,,Сильный human/экспертный материал,Оставить; при возможности добавить FAQ/обновить дату,https://proektmap.ru/blog/reasonix-bez-lishnih-tokenov
kak-sobrat-payplayn-iz-80-neyrosetey-na-odnom-balanse,Как собрать пайплайн из 80+ нейросетей на одном балансе,expand,P0,avito-ai,explainer,18,263,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/kak-sobrat-payplayn-iz-80-neyrosetey-na-odnom-balanse
zapusk-qwen-na-apple-neural-engine-praktika-dlya-rf,Запуск Qwen на Apple Neural Engine: практика для РФ,stop,P3,noise,explainer,12,218,true,true,,/resheniya /services/voice-guide-builder,Вне фокуса ProektMap / шум,Не развивать; при consolidate — 301 на кластерный guide или оставить архивом без инвестиций,https://proektmap.ru/blog/zapusk-qwen-na-apple-neural-engine-praktika-dlya-rf
ai-dlya-prodavtsov-sem-al-tman-priznal-proval-kommunikatsii,AI для продавцов: Сэм Альтман признал провал коммуникации,leave-as-news,P3,avito-ai,news,13,188,true,false,,,"Своевременная новость — архив, не ядро спроса","Не расширять; при новой волне — обновить entity-кластер, не клонировать пост",https://proektmap.ru/blog/ai-dlya-prodavtsov-sem-al-tman-priznal-proval-kommunikatsii
llm-i-152-fz-chto-izmenilos-dlya-praktika,LLM и 152-ФЗ: что изменилось для практика,evergreen,P3,avito-ai,explainer,17,170,true,true,,/resheniya,"Тема вечнозелёная, формат сейчас News/тонкий — превратить в guide/entity","Расширить до guide: ответ сверху, шаги, плохо→хорошо, CTA",https://proektmap.ru/blog/llm-i-152-fz-chto-izmenilos-dlya-praktika
ai-v-farme-chto-vzyat-prodavtsu-dlya-avtomatizatsii,AI в фарме: что взять продавцу для автоматизации,expand,P0,avito-ai,explainer,18,227,true,false,,,"Тонкий кластерный пост — сначала расширить, затем CTA",Expand + обязательный product CTA,https://proektmap.ru/blog/ai-v-farme-chto-vzyat-prodavtsu-dlya-avtomatizatsii
robototehnika-slozhna-chto-eto-znachit-dlya-ai-inzhenera,Робототехника сложна: что это значит для AI-инженера,evergreen,P3,avito-ai,explainer,10,208,true,true,,/resheniya,"Тема вечнозелёная, формат сейчас News/тонкий — превратить в guide/entity","Расширить до guide: ответ сверху, шаги, плохо→хорошо, CTA",https://proektmap.ru/blog/robototehnika-slozhna-chto-eto-znachit-dlya-ai-inzhenera
inzheneriya-agentov-harness-loop-graph,"Инженерия агентов: почему промпта мало — Harness, Loop, Graph",keep,P1,ai-agents,explainer,38,408,false,false,,,Сильный human/экспертный материал,Оставить; при возможности добавить FAQ/обновить дату,https://proektmap.ru/blog/inzheneriya-agentov-harness-loop-graph
