# СПИСОК РЕПЛИК ВАЙБИКА ДЛЯ ОЗВУЧКИ
# Формат: <id-ключ> | <текст реплики>

mission1.welcome | Привет! Я — Вайбик, твой робот-напарник. Добро пожаловать в космическую лабораторию!
lab.intro.greet | Привет! Я Вайбик! Ура-а!
lab.intro.clever | Я очень умный робот!
lab.intro.secret | Но у меня есть секрет...
lab.intro.noMindRead | Я не умею читать мысли!
lab.intro.explain | Честно-честно! Поэтому расскажи, что ты задумал.
lab.intro.together | Давай придумаем игру вместе!
lab.theme.prompt | Выбери тему игры:
lab.theme.reaction.space | Космос! Класс!
lab.theme.reaction.dino | Динозавры! Ух ты!
lab.theme.reaction.cat | Котик! Люблю котов!
lab.action.reaction.stars | Собирать звёзды! Отлично!
lab.action.reaction.aliens | Убегать от пришельцев! Здорово!
lab.action.reaction.score | Набирать очки! Супер!
lab.learned | ИИ не читает мысли! Ему нужно объяснить задачу словами — как ты объяснил мне.
prompt.magic | Смотри! Сейчас произойдёт волшебство...
prompt.explain | Ух ты! Промпт готов! Собираю твою игру!
prompt.game | Игра готова! Поехали!
game.hint | Но ИИ иногда ошибается. Давай проверим твою игру внимательнее!
program.typing | Вижу твой промпт! Сейчас я превращу его в настоящую программу...
program.magic | Ух ты! Слова оживают и становятся игрой! Посмотри, как всё засветилось!
program.explain | Запомни: работа с ИИ — это не просто красивые промпты. Мастер ИИ думает, объясняет, проверяет и исправляет. Этому надо учиться!
program.reward | Ты понял главный секрет вайбкодера!
program.done | Дальше — проверим игру!
iteration.found | Стоп-стоп! Не хватает одного предмета... Ой! Я поставил его за пределами игрового поля! Что будем делать?
iteration.guide.quit | Бросить? Нет-нет! Мы почти всё собрали — один предмет до победы! Попробуй ещё раз.
iteration.guide.nothing | Ничего не делать? Тогда предмет так и потеряется в космосе. А ведь мы можем всё исправить! Подумай ещё.
iteration.guide.default | Попробуй ещё раз! Как думаешь, что нужно сделать?
iteration.fixed | Отлично! Я объясню ИИ, где ошибка. Проверяю... Возвращаю предмет! Собери его!
iteration.work | Работает!
iteration.explain | Итерация — это повтор. Проверяешь → находишь проблему → объясняешь ИИ → получаешь лучше!
iteration.done | Ты настоящий вайбкодер!
final.done | Миссия выполнена! Ты настоящий вайбкодер!

# Динамические варианты lab.action.prompt
lab.action.prompt.space | Отлично — космос! А что будем делать? Выбери действие:
lab.action.prompt.dino | Отлично — динозавры! А что будем делать? Выбери действие:
lab.action.prompt.cat | Отлично — котик! А что будем делать? Выбери действие:

# Динамические комбинации lab.done
lab.done.space.stars | Отлично! Космос + собирать звёзды — теперь я всё понял и построю твою игру!
lab.done.space.aliens | Отлично! Космос + убегать от пришельцев — теперь я всё понял и построю твою игру!
lab.done.space.score | Отлично! Космос + набирать очки — теперь я всё понял и построю твою игру!
lab.done.dino.stars | Отлично! Динозавры + собирать звёзды — теперь я всё понял и построю твою игру!
lab.done.dino.aliens | Отлично! Динозавры + убегать от пришельцев — теперь я всё понял и построю твою игру!
lab.done.dino.score | Отлично! Динозавры + набирать очки — теперь я всё понял и построю твою игру!
lab.done.cat.stars | Отлично! Котик + собирать звёзды — теперь я всё понял и построю твою игру!
lab.done.cat.aliens | Отлично! Котик + убегать от пришельцев — теперь я всё понял и построю твою игру!
lab.done.cat.score | Отлично! Котик + набирать очки — теперь я всё понял и построю твою игру!

# Динамические варианты iteration.play
iteration.play.stars | Проверь игру, что я построил! Собери все светящиеся звёзды!
iteration.play.crystals | Проверь игру, что я построил! Собери все светящиеся кристаллы!
iteration.play.coins | Проверь игру, что я построил! Собери все светящиеся монеты!
